n,t,σₜ,t_no_ttv,Δt
-3,66.55318466666667,4.1,66.549643,5.1
-2,78.83623511111111,3.5,78.832624,5.2
-1,91.11859111111112,4.4,91.115605,4.3
0,103.39879433333333,3.8,103.398586,0.3
2,127.97177022222222,4.0,127.964548,10.4
4,152.52981555555556,2.9,152.53051,-1.0
5,164.8148798888889,3.8,164.813491,2.0
6,177.10112477777778,5.5,177.096472,6.7
7,189.381953,2.5,189.379453,3.6
8,201.663684,3.6,201.662434,1.8
10,226.22617377777777,3.2,226.228396,-3.2
12,250.78901077777778,3.2,250.794358,-7.7
13,263.0722695555556,3.9,263.077339,-7.3
14,275.3548338888889,3.6,275.36032,-7.9
15,287.64184266666666,3.4,287.643301,-2.1
16,299.9237125555556,3.5,299.926282,-3.7
17,312.20211022222225,3.0,312.209263,-10.3
19,336.76126666666664,4.7,336.775225,-20.1
20,349.04598377777774,4.3,349.058206,-17.6
21,361.33007588888887,5.3,361.341187,-16.0
23,385.9045101111111,4.8,385.907149,-3.8
24,398.1850605555556,4.1,398.19013,-7.3
25,410.4651248888889,2.8,410.473111,-11.5
26,422.7476207777778,4.5,422.756093,-12.2
27,435.0306712222222,3.2,435.039074,-12.1
28,447.31559666666664,3.9,447.322055,-9.3
29,459.6003832222222,2.8,459.605036,-6.7
31,484.170373,3.5,484.170998,-0.9
32,496.4562706666667,3.8,496.453979,3.3
33,508.7314044444445,4.2,508.73696,-8.0
34,521.0219548888889,3.4,521.019941,2.9
35,533.299797,4.8,533.302922,-4.5
36,545.5887502222223,3.9,545.585903,4.1
37,557.8741617777778,3.7,557.868884,7.6
38,570.1550594444445,4.5,570.151865,4.6
39,582.4406793333334,3.3,582.434846,8.4
40,594.7199797777778,3.0,594.717827,3.1
41,607.0005996666666,4.8,607.000808,-0.3
42,619.2860806666666,3.6,619.283789,3.3
44,643.859126,4.4,643.849751,13.5
46,668.4275185555556,3.3,668.415713,17.0
47,680.7043884444445,2.5,680.698694,8.2
48,692.9863972222222,3.8,692.981675,6.8
49,705.2660448888888,4.5,705.264656,2.0
50,717.5558314444445,2.9,717.547637,11.8
51,729.836243,5.0,729.830618,8.1
52,742.1136684444444,3.8,742.113599,0.1
53,754.4111633333333,3.7,754.39658,21.0
54,766.6907415555556,3.7,766.679561,16.1
55,778.9711541111111,2.8,778.962543,12.4
56,791.2488573333334,4.1,791.245524,4.8
57,803.5287827777778,4.8,803.528505,0.4
58,815.8203054444444,3.8,815.811486,12.7
59,828.0955781111111,2.5,828.094467,1.6
60,840.3832118888888,2.0,840.377448,8.3
61,852.6642484444444,4.8,852.660429,5.5
62,864.9518822222221,4.3,864.94341,12.2
63,877.2310437777778,4.7,877.226391,6.7
64,889.5051358888888,4.6,889.509372,-6.1
65,901.7888113333333,2.5,901.792353,-5.1
66,914.0744312222222,3.8,914.075334,-1.3
67,926.3669955555555,3.8,926.358315,12.5
68,938.6353237777778,4.7,938.641296,-8.6
69,950.9230964444444,4.4,950.924277,-1.7
70,963.2054524444445,3.8,963.207258,-2.6
71,975.4869751111111,5.8,975.490239,-4.7
72,987.7627338888889,4.9,987.77322,-15.1
73,1000.0532148888889,2.7,1000.056201,-4.3
74,1012.3382792222222,4.0,1012.339182,-1.3
75,1024.6158435555556,4.2,1024.622163,-9.1
76,1036.8997967777777,4.0,1036.905144,-7.7
77,1049.1804166666666,4.3,1049.188125,-11.1
79,1073.743600888889,3.5,1073.754087,-15.1
80,1086.0195680000002,3.3,1086.037068,-25.2
81,1098.3169934444443,4.5,1098.320049,-4.4
82,1110.6010855555555,3.9,1110.60303,-2.8
